Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_18_18,VGND,li1,15.1800,59.8400,0.000079
FILLER_17_238,VGND,li1,115.2300,59.8400,0.000401
FILLER_17_66,VGND,li1,36.3400,59.8400,0.000159
FILLER_17_50,VGND,li1,28.9800,59.8400,0.000108
FILLER_17_20,VGND,li1,14.9500,59.8400,0.000079
FILLER_17_14,VGND,li1,12.4200,59.8400,0.000080
FILLER_17_3,VGND,li1,7.3600,59.8400,0.000080
FILLER_16_85,VGND,li1,44.8500,54.4000,0.000150
FILLER_16_78,VGND,li1,41.6300,54.4000,0.000141
FILLER_16_54,VGND,li1,30.5900,54.4000,0.000084
FILLER_16_38,VGND,li1,23.6900,54.4000,0.000060
FILLER_16_26,VGND,li1,17.9400,54.4000,0.000062
FILLER_16_13,VGND,li1,11.9600,54.4000,0.000063
FILLER_15_223,VGND,li1,108.3300,54.4000,0.000298
FILLER_15_181,VGND,li1,89.0100,54.4000,0.000281
FILLER_15_113,VGND,li1,57.9600,54.4000,0.000198
FILLER_15_69,VGND,li1,37.4900,54.4000,0.000121
FILLER_15_24,VGND,li1,16.7900,54.4000,0.000062
FILLER_15_13,VGND,li1,11.9600,54.4000,0.000063
FILLER_14_195,VGND,li1,95.4500,48.9600,0.000253
FILLER_14_180,VGND,li1,88.7800,48.9600,0.000245
FILLER_14_138,VGND,li1,69.4600,48.9600,0.000202
FILLER_14_76,VGND,li1,40.7100,48.9600,0.000110
FILLER_14_3,VGND,li1,7.3600,48.9600,0.000050
FILLER_13_238,VGND,li1,115.2300,48.9600,0.000265
FILLER_13_113,VGND,li1,57.9600,48.9600,0.000165
FILLER_13_67,VGND,li1,37.0300,48.9600,0.000095
FILLER_13_54,VGND,li1,30.8200,48.9600,0.000070
FILLER_13_37,VGND,li1,23.2300,48.9600,0.000048
FILLER_12_195,VGND,li1,95.4500,43.5200,0.000219
FILLER_12_99,VGND,li1,51.5200,43.5200,0.000141
FILLER_12_90,VGND,li1,47.6100,43.5200,0.000129
FILLER_12_78,VGND,li1,41.6300,43.5200,0.000108
FILLER_12_64,VGND,li1,35.4200,43.5200,0.000084
FILLER_12_55,VGND,li1,31.2800,43.5200,0.000066
FILLER_12_29,VGND,li1,21.6200,43.5200,0.000045
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000045
FILLER_12_23,VGND,li1,16.3300,43.5200,0.000046
FILLER_12_17,VGND,li1,14.7200,43.5200,0.000046
FILLER_12_10,VGND,li1,11.0400,43.5200,0.000047
FILLER_11_225,VGND,li1,109.4800,43.5200,0.000225
FILLER_11_57,VGND,li1,31.9700,43.5200,0.000066
FILLER_11_54,VGND,li1,30.8200,43.5200,0.000066
FILLER_11_41,VGND,li1,25.0700,43.5200,0.000043
FILLER_11_31,VGND,li1,20.7000,43.5200,0.000045
FILLER_11_9,VGND,li1,9.8900,43.5200,0.000047
FILLER_10_225,VGND,li1,109.4800,38.0800,0.000264
FILLER_10_149,VGND,li1,74.2900,38.0800,0.000227
FILLER_10_141,VGND,li1,70.6100,38.0800,0.000219
FILLER_10_117,VGND,li1,59.5700,38.0800,0.000195
FILLER_10_93,VGND,li1,48.9900,38.0800,0.000158
FILLER_10_85,VGND,li1,45.3100,38.0800,0.000144
FILLER_10_57,VGND,li1,31.9700,38.0800,0.000079
FILLER_10_33,VGND,li1,20.9300,38.0800,0.000050
FILLER_10_21,VGND,li1,15.4100,38.0800,0.000050
FILLER_10_15,VGND,li1,13.8000,38.0800,0.000050
FILLER_10_3,VGND,li1,9.6600,38.0800,0.000050
FILLER_9_236,VGND,li1,114.3100,38.0800,0.000265
FILLER_9_200,VGND,li1,97.7500,38.0800,0.000258
FILLER_9_166,VGND,li1,82.3400,38.0800,0.000241
FILLER_9_148,VGND,li1,73.8300,38.0800,0.000224
FILLER_9_134,VGND,li1,67.3900,38.0800,0.000210
FILLER_9_57,VGND,li1,32.2000,38.0800,0.000079
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000079
FILLER_9_34,VGND,li1,22.0800,38.0800,0.000049
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000050
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000050
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000050
FILLER_8_251,VGND,li1,121.2100,32.6400,0.000281
FILLER_8_157,VGND,li1,77.9700,32.6400,0.000245
FILLER_8_139,VGND,li1,69.6900,32.6400,0.000225
FILLER_8_48,VGND,li1,28.0600,32.6400,0.000059
FILLER_8_40,VGND,li1,25.7600,32.6400,0.000049
FILLER_8_29,VGND,li1,19.0900,32.6400,0.000049
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000049
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000049
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000049
FILLER_7_175,VGND,li1,86.2500,32.6400,0.000259
FILLER_7_148,VGND,li1,73.8300,32.6400,0.000236
FILLER_7_106,VGND,li1,54.5100,32.6400,0.000171
FILLER_7_82,VGND,li1,43.4700,32.6400,0.000132
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000070
FILLER_7_45,VGND,li1,27.1400,32.6400,0.000059
FILLER_7_39,VGND,li1,23.6900,32.6400,0.000049
FILLER_7_27,VGND,li1,20.7000,32.6400,0.000049
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000049
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000049
FILLER_6_219,VGND,li1,106.4900,27.2000,0.000252
FILLER_6_138,VGND,li1,69.4600,27.2000,0.000199
FILLER_6_85,VGND,li1,45.0800,27.2000,0.000125
FILLER_6_83,VGND,li1,43.9300,27.2000,0.000117
FILLER_6_74,VGND,li1,39.7900,27.2000,0.000100
FILLER_6_66,VGND,li1,36.5700,27.2000,0.000092
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000043
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000043
FILLER_6_15,VGND,li1,15.1800,27.2000,0.000043
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000043
FILLER_5_113,VGND,li1,58.1900,27.2000,0.000164
FILLER_5_111,VGND,li1,56.8100,27.2000,0.000164
FILLER_5_91,VGND,li1,47.6100,27.2000,0.000133
FILLER_5_69,VGND,li1,37.7200,27.2000,0.000092
FILLER_5_62,VGND,li1,34.7300,27.2000,0.000084
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000064
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000064
FILLER_5_39,VGND,li1,26.2200,27.2000,0.000043
FILLER_5_27,VGND,li1,20.7000,27.2000,0.000043
FILLER_5_15,VGND,li1,15.1800,27.2000,0.000043
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000043
FILLER_4_238,VGND,li1,115.4600,21.7600,0.000186
FILLER_4_197,VGND,li1,96.3700,21.7600,0.000170
FILLER_4_180,VGND,li1,89.2400,21.7600,0.000160
FILLER_4_167,VGND,li1,84.1800,21.7600,0.000151
FILLER_4_145,VGND,li1,72.6800,21.7600,0.000129
FILLER_4_136,VGND,li1,69.0000,21.7600,0.000125
FILLER_4_117,VGND,li1,59.5700,21.7600,0.000104
FILLER_4_109,VGND,li1,56.3500,21.7600,0.000095
FILLER_4_97,VGND,li1,50.6000,21.7600,0.000084
FILLER_4_85,VGND,li1,47.3800,21.7600,0.000076
FILLER_4_77,VGND,li1,41.6300,21.7600,0.000059
FILLER_4_65,VGND,li1,38.1800,21.7600,0.000055
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000042
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000029
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000024
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000024
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000024
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000024
FILLER_3_225,VGND,li1,109.2500,21.7600,0.000182
FILLER_3_223,VGND,li1,108.3300,21.7600,0.000182
FILLER_3_169,VGND,li1,84.6400,21.7600,0.000151
FILLER_3_156,VGND,li1,80.0400,21.7600,0.000146
FILLER_3_144,VGND,li1,74.5200,21.7600,0.000136
FILLER_3_132,VGND,li1,69.0000,21.7600,0.000125
FILLER_3_120,VGND,li1,63.4800,21.7600,0.000113
FILLER_3_113,VGND,li1,57.9600,21.7600,0.000099
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000095
FILLER_3_105,VGND,li1,55.2000,21.7600,0.000095
FILLER_3_93,VGND,li1,51.0600,21.7600,0.000084
FILLER_3_81,VGND,li1,45.5400,21.7600,0.000072
FILLER_3_69,VGND,li1,40.0200,21.7600,0.000059
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000046
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000035
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000035
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000024
FILLER_3_27,VGND,li1,20.7000,21.7600,0.000024
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000024
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000024
FILLER_2_214,VGND,li1,104.4200,16.3200,0.000098
FILLER_2_177,VGND,li1,88.7800,16.3200,0.000085
FILLER_2_165,VGND,li1,84.1800,16.3200,0.000078
FILLER_2_153,VGND,li1,78.6600,16.3200,0.000073
FILLER_2_141,VGND,li1,73.1400,16.3200,0.000067
FILLER_2_139,VGND,li1,69.6900,16.3200,0.000061
FILLER_2_133,VGND,li1,68.0800,16.3200,0.000061
