net,length_um
_0772_,16.1µm
net1,16.1µm
_0289_,16.08µm
_0677_,16.06µm
_0387_,16.02µm
_0531_,16.02µm
_0006_,15.94µm
_0035_,15.94µm
_0371_,15.94µm
_0774_,15.92µm
_0927_,15.92µm
_0745_,15.9µm
_0362_,15.86µm
_0549_,15.82µm
y[31],15.81µm
result[20],15.78µm
_0753_,15.74µm
result[17],15.62µm
y[9],15.51µm
_0750_,15.4µm
_0756_,15.38µm
_0070_,15.34µm
_0737_,15.34µm
_0588_,15.33µm
_0601_,15.32µm
_0785_,15.32µm
_0854_,15.225µm
_0851_,15.16µm
_0884_,15.16µm
net79,15.14µm
_0591_,15.1µm
net32,15.065µm
net105,14.94µm
result[16],14.92µm
_0782_,14.86µm
net111,14.83µm
_0572_,14.72µm
_0781_,14.7µm
_0408_,14.68µm
_0548_,14.67µm
result[7],14.66µm
_0343_,14.64µm
_0695_,14.64µm
_0441_,14.62µm
y[14],14.47µm
_0059_,14.42µm
_0203_,14.38µm
net88,14.365µm
_0455_,14.3µm
_0652_,14.24µm
result[3],14.24µm
_0622_,14.18µm
_0428_,14.16µm
result[10],14.16µm
result[4],14.12µm
_0268_,14.1µm
_0393_,14.1µm
_0790_,13.91µm
_0850_,13.76µm
_0043_,13.7µm
_0430_,13.66µm
_0736_,13.66µm
_0914_,13.5µm
net75,13.46µm
net86,13.44µm
result[21],13.32µm
_0475_,13.26µm
_0718_,13.18µm
_0678_,13.07µm
_0928_,12.98µm
_0904_,12.9µm
_0296_,12.88µm
_0074_,12.86µm
_0037_,12.84µm
net30,12.815µm
_0472_,12.68µm
_0668_,12.64µm
_0493_,12.62µm
_0807_,12.575µm
_0626_,12.56µm
_0556_,12.52µm
_0571_,12.5µm
y[6],12.41µm
result[9],12.34µm
result[8],12.26µm
_0282_,12.24µm
_0769_,12.24µm
x[3],12.23µm
_0369_,12.22µm
_0629_,12.18µm
_0687_,12.18µm
_0644_,12.12µm
_0418_,12.1µm
_0215_,12.08µm
_0492_,12.06µm
_0578_,12.045µm
x[16],12.04µm
_0040_,12.02µm
x[5],12.01µm
_0325_,11.98µm
net107,11.96µm
_0426_,11.92µm
_0005_,11.88µm
x[11],11.85µm
_0022_,11.82µm
_0367_,11.72µm
_0498_,11.72µm
net85,11.72µm
net5,11.71µm
_0627_,11.64µm
_0743_,11.62µm
net87,11.6µm
_0864_,11.58µm
_0520_,11.56µm
_0692_,11.56µm
_0347_,11.52µm
_0085_,11.51µm
_0502_,11.5µm
_0676_,11.5µm
_0698_,11.5µm
_0803_,11.5µm
_0201_,11.42µm
y[30],11.35µm
net74,11.34µm
_0565_,11.22µm
_0346_,11.18µm
_0510_,11.16µm
_0290_,11.15µm
_0755_,11.13µm
_0030_,11.12µm
_0308_,11.12µm
_0350_,11.04µm
_0013_,10.91µm
_0522_,10.86µm
_0921_,10.84µm
_0528_,10.78µm
net69,10.78µm
_0575_,10.74µm
_0616_,10.7µm
_0637_,10.7µm
_0562_,10.68µm
_0658_,10.66µm
net112,10.66µm
net94,10.6µm
_0936_,10.56µm
_0304_,10.51µm
net31,10.505µm
_0730_,10.5µm
_0293_,10.47µm
_0242_,10.46µm
_0683_,10.44µm
_0451_,10.42µm
_0471_,10.4µm
_0931_,10.4µm
_0567_,10.38µm
_0023_,10.36µm
_0062_,10.32µm
_0082_,10.26µm
_0210_,10.26µm
x[9],10.25µm
_0376_,10.2µm
_0476_,10.2µm
_0024_,10.04µm
_0478_,10.04µm
_0519_,10.01µm
_0065_,9.94µm
_0526_,9.94µm
x[8],9.89µm
net73,9.88µm
x[12],9.87µm
_0021_,9.86µm
_0221_,9.82µm
_0631_,9.82µm
_0081_,9.76µm
net71,9.76µm
y[17],9.74µm
_0938_,9.66µm
result[11],9.64µm
result[1],9.64µm
result[5],9.64µm
_0010_,9.62µm
_0619_,9.6µm
_0509_,9.58µm
_0632_,9.56µm
x[6],9.55µm
_0656_,9.54µm
_0598_,9.515µm
_0671_,9.48µm
_0877_,9.46µm
net110,9.46µm
_0544_,9.44µm
_0862_,9.44µm
_0214_,9.38µm
_0672_,9.38µm
x[10],9.29µm
_0283_,9.24µm
_0566_,9.24µm
_0749_,9.2µm
_0351_,9.16µm
_0674_,9.16µm
x[31],9.09µm
_0425_,9.08µm
_0777_,9.08µm
_0276_,9.04µm
_0739_,8.98µm
y[4],8.97µm
_0779_,8.96µm
_0353_,8.9µm
_0329_,8.79µm
_0675_,8.74µm
result[0],8.72µm
result[12],8.72µm
result[13],8.72µm
result[14],8.72µm
result[15],8.72µm
_0650_,8.7µm
x[1],8.69µm
_0039_,8.68µm
_0919_,8.63µm
_0437_,8.6µm
_0620_,8.58µm
_0523_,8.56µm
_0890_,8.56µm
_0067_,8.52µm
_0048_,8.46µm
_0796_,8.4µm
_0635_,8.36µm
_0597_,8.28µm
result[2],8.26µm
result[6],8.26µm
_0759_,8.22µm
_0686_,8.2µm
_0719_,8.18µm
_0775_,8.16µm
_0433_,8.08µm
